%rank s1 s2 ntasks
52  19  1  192
50  20  6  217
108  18  5  177
38  20  0  211
106  18  3  175
44  20  4  215
51  20  7  218
55  20  9  220
45  19  0  191
56  20  10  221
65  19  4  195
71  20  14  225
78  19  7  198
85  20  16  227
47  20  5  216
87  20  17  228
84  20  15  226
86  19  10  201
95  20  20  231
97  19  15  206
93  20  19  230
3  19  18  209
61  20  12  223
92  20  18  229
5  19  19  210
109  21  14  246
43  20  3  214
69  21  1  233
2  21  16  248
14  18  11  183
13  21  20  252
98  21  9  241
94  21  7  239
18  21  21  253
12  18  10  182
6  21  17  249
24  18  13  185
62  19  3  194
72  21  2  234
76  21  4  236
63  20  13  224
68  19  5  196
46  21  6  238
58  20  11  222
89  19  12  203
96  21  8  240
100  21  10  242
1  21  15  247
11  21  19  251
7  21  18  250
90  19  13  204
102  21  11  243
108  21  13  245
64  21  0  232
35  18  18  190
79  21  5  237
74  21  3  235
88  19  11  202
104  21  12  244
61  22  0  254
59  23  14  290
69  22  1  255
21  22  20  273
0  22  16  269
40  23  6  282
45  23  8  284
24  23  1  277
71  22  2  256
81  22  6  259
75  22  4  257
84  22  8  261
96  23  20  296
107  22  14  267
25  22  21  274
43  23  7  283
102  23  21  297
28  23  2  278
23  23  0  276
72  23  16  292
63  23  15  291
47  23  9  285
86  22  9  262
109  22  15  268
15  22  17  270
20  22  19  272
82  22  7  260
29  25  1  326
30  25  2  327
85  23  17  293
46  23  4  280
3  25  20  345
100  25  14  339
50  23  10  286
50  27  8  386
103  25  17  342
101  25  15  340
101  27  16  394
5  25  21  346
5  26  6  357
25  26  14  365
1  25  16  341
59  25  8  333
10  25  25  350
2  25  19  344
7  25  23  348
98  22  12  265
94  22  10  263
32  23  3  279
19  22  18  271
15  26  8  359
27  25  0  325
102  26  2  353
34  24  1  301
38  23  5  281
42  25  4  329
48  24  7  307
49  24  8  308
44  24  6  306
57  25  7  332
0  24  16  316
53  24  9  309
45  26  16  367
108  25  18  343
56  23  13  289
64  25  10  335
66  24  14  314
62  25  9  334
35  24  2  302
80  22  5  258
71  26  20  371
83  26  25  376
78  24  21  321
87  23  18  294
68  24  15  315
47  25  6  331
47  27  6  384
89  25  12  337
74  25  11  336
95  22  11  264
97  26  1  352
91  23  19  295
93  25  13  338
52  23  12  288
52  27  9  387
105  23  23  299
77  24  20  320
96  26  0  351
92  27  15  393
8  27  20  398
86  27  14  392
11  27  23  401
1  26  4  355
59  27  10  388
14  26  7  358
13  27  25  403
13  28  21  427
2  27  19  397
22  27  1  379
43  25  5  330
9  25  24  349
26  24  0  300
27  27  27  405
36  25  3  328
16  26  9  360
18  27  0  378
34  27  4  382
106  22  13  266
6  25  22  347
69  27  12  390
21  27  26  404
28  27  2  380
49  27  7  385
51  23  11  287
0  27  18  396
55  26  17  368
40  26  15  366
54  24  10  310
39  24  4  304
108  27  17  395
70  24  17  317
23  26  12  363
76  24  19  319
80  27  13  391
72  26  21  372
63  26  19  370
81  26  23  374
46  27  21  399
88  24  23  323
84  26  26  377
104  23  22  298
61  24  12  312
5  28  20  426
98  28  16  422
17  26  10  361
94  28  14  420
20  26  11  362
37  24  3  303
12  27  24  402
44  28  25  431
57  28  2  408
45  28  1  407
24  26  13  364
72  28  8  414
58  26  18  369
3  26  5  356
100  28  17  423
50  28  27  433
77  28  9  415
107  26  3  354
10  27  22  400
32  28  0  406
109  28  19  425
33  27  3  381
82  26  24  375
38  27  5  383
73  24  18  318
70  28  6  412
62  28  4  410
35  28  23  429
71  28  7  413
75  26  22  373
47  28  26  432
97  28  15  421
92  29  6  441
86  28  12  418
41  24  5  305
28  29  25  460
67  27  11  389
4  29  14  449
83  29  2  437
95  29  8  443
